,CountryName,Report
10,"Congo, Democratic Republic of the","There were numerous reports the government or its agents committed arbitrary or unlawful killings. The state security forces (SSF) committed arbitrary or unlawful killings in operations against RMGs in the east and in the Kasai region (see section 1.g.). According to the UN Joint Office of Human Rights (UNJHRO), security forces were responsible for 389 extrajudicial killings across the country as of year’s end. Many of these extrajudicial killings occurred in the Kasais, where the SSF fought Kamuina Nsapu and other antigovernment militias. RMGs were responsible for at least 780 summary executions. On January 21 and February 25, security forces used lethal and disproportionate force to disrupt protests led by Roman Catholic and some Protestant church leaders in support of credible elections and implementation of the December 2016 Agreement. During the two days of protests, UN observers and others witnessed members of the Republican Guard and other members of security forces fire directly at protesters, resulting in seven deaths on January 21 and two on February 25. Among those killed on January 21 was Therese Kapangala, a 24-year-old studying to become a nun, who was shot and killed outside her church in a Catholic parish in Kinshasa. During protests organized by the Catholic Lay Committee on February 25, state security forces killed two persons, including local human rights activist Rossy Mukendi Tshimanga, who was shot by a rubber bullet inside a church compound. From August 3 to 7, the SSF used tear gas and live bullets to disperse protests, resulting in the deaths of three persons, including two children, and the injury of at least two persons by police. In March a joint report by the UN human rights office in Kinshasa (JHRO) and the UN Office of the High Commissioner for Human Rights (OHCHR) covering January 2017 through January stated that the SSF used illegal, systematic, and disproportionate force against protesters, resulting in 47 civilian deaths. On November 12 and 15, police were responsible for the deaths of two students who were protesting against a teachers’ strike at the University of Kinshasa. On July 4, the OHCHR released a report on abuses in the Kasais region that accused RMGs Kamuina Nsapu and Bana Mura and the SSF of war crimes and crimes against humanity. Based on interviews with 524 persons, the experts’ report accused the military of cooperation with Bana Mura militia and an excessively violent response to conflict in the region, particularly the 2101st Regiment that was redeployed to Kananga from North Kivu in 2007 when it was part of the Fifth Integrated Brigade. The report estimated that the conflict, which was most violent in 2017, resulted in “thousands of deaths and a disastrous human rights situation” and displaced 1.4 million persons. Among other incidents, the report documented an SSF attack in May 2017 in Tshikulu that resulted in the summary execution of at least 79 civilians, including at least 19 children. On September 15, a regional civil society development network in the Kasai region released a report stating that in March 2017 the SSF killed 264 civilians in the village of Nganza during antimilitia operations. RMGs committed arbitrary and unlawful killings throughout the year (see section 1.g.). Numerous armed groups recruited and used children as soldiers and human shields and targeted the SSF, members of the government, and others."
11,"Congo, Republic of the","There were several reports on social media of the government or its agents committing arbitrary or unlawful killings; however, for most such reports of killings besides those specified below, no independent confirmation was possible, leading to uncertainty regarding the frequency of the incidents and the total number of persons arbitrarily deprived of life. Human rights nongovernmental organizations (NGOs) continued to report deaths resulting from abuse in prisons and pretrial detention centers (see sections 1.c. and 1.g.). On July 23, 13 persons between the ages of 12 and 22 died in police custody in the Chacona police station in Brazzaville. Significant public backlash contributed to a shifting government narrative of the incident. The government’s public prosecutor originally announced that the deaths resulted from armed street violence between rival gangs. On July 26, however, the minister of interior admitted before Parliament that the young men died in unclear circumstances in police custody. In the days following the incident, the government announced it would launch an investigation into the incident, detained members of the police unit that worked at the Chacona police station, and paid families 2,000,000 Central African Francs each ($3,530). As of December 10, a judicial review was underway but not yet complete."
12,Cote d’Ivoire,There were no reports the government or its agents committed arbitrary or unlawful killings.
13,Djibouti,"There were reports the government or its agents committed arbitrary or unlawful killings. According to a human rights group, on July 9, state security forces shot and killed a young man in Northern Djibouti during an investigation into an armed rebel group. In 2015 the government investigated law enforcement officials and civilians allegedly responsible for killing as many as 30 persons gathering for a religious ceremony. The government did not find any law enforcement officials responsible for the deaths. Several civilian cases related to the same incident remained pending. Authorities seldom took known actions to investigate reported cases of arbitrary or unlawful killings from previous years or to try suspected perpetrators. The government prioritized investigating and arresting alleged members of a rebel group after accusing the group of a May attack on heavy machinery for the construction of a controversial road project in the North."
14,Equatorial Guinea,"There were several reports that the government or its agents committed arbitrary or unlawful killings. On April 3, Santiago Ebee Ela, 41, member of the outlawed opposition party Citizens for Innovation (CI), died at Malabo Central Police Station, reportedly because of “cruel torture.” Government authorities did not confirm the death, nor did state media report it. CI alleged that Ebee Ela was arrested at home on the night of January 2 and was one of more than 200 party activists authorities detained since December 2017 as part of a crackdown following the mid-November 2017 elections. The majority of the CI members were released quickly. The final 36 received a pardon on October 10 and were released that month. Judge Jose Esono Ndong Bidang died in a police station in Malabo on July 23 after he was denied medical attention in police custody."
15,Eritrea,"International nongovernmental organizations (NGOs) reported that the government committed arbitrary killings with impunity and subjected detainees to harsh and life-threatening prison conditions. In August the UN Human Rights Committee released a list of issues pertaining to the government’s implementation of its obligations under the International Covenant on Civil and Political Rights; the government did not submit a report at that session. The United Nations’ list of issues included a number of references to human rights violations, including reports of wide-scale extrajudicial executions and disappearances, especially of those whose loyalty to the authorities was questioned. The list also referred to allegations of cases of enforced disappearances and extrajudicial killings allegedly committed by governmental actors, particularly the National Security Office. The UN special rapporteur (SR) on the situation of human rights in Eritrea presented her fifth and final report at the Human Rights Council on June 14. The report referred to an arbitrary killing of a young man who was trying to cross the border in July 2017, and the SR asserted instances of extrajudicial killings at the border continued. In 2017 Doctors without Borders reported on the experiences of Eritreans who reported they were shot trying to cross the border to Ethiopia. A 2016 UN Commission of Inquiry (COI) report found that authorities had previously committed extrajudicial executions and arbitrary killings. In July 2017 the SR reported that her requests to visit the country during her five-year mandate had also been denied, thus limiting her ability to provide further information on current conditions."
16,Eswatini,"In contrast with 2017, there were no reports that the government or its agents committed arbitrary or unlawful killings."
17,Ethiopia,"There were numerous reports that the government and its representatives committed arbitrary and unlawful killings. Security forces used excessive force against civilians. A July 31 report from the independent nongovernmental organization (NGO) Human Rights Council (HRCO) that documented field investigations in 26 districts across seven zones in the Oromia and Somali Regions found that federal and regional security forces, as well as mobs of local youth, killed 733 citizens between January 2017 and January 2018. On April 8, during the SOE, a military officer in Qobo town, East Haraghe Zone of Oromia Region, reportedly severely assaulted, shot, and killed 20-year-old Ayantu Mohammed, a mother of one who was three months’ pregnant, after abducting her from the street. According to a local media report, neighbors found Ayantu’s body dumped in their neighborhood the following day. Local police reported they disarmed and arrested the suspected military officer. On August 4, violence reportedly involving regional security forces left at least 30 citizens dead in Jijiga, capital of the Somali Region, and nearby towns. In cascading violence shortly thereafter, communal violence in Dire Dawa left 14 individuals dead, including a woman and her four children, according to an August 7 press release by HRCO. On August 12, a heavily armed group of Somali Region’s special police force, sometimes referred to as the Liyu, attacked residents in Mayu Muluke District in East Hararghe Zone, Oromia, killing 40 persons and injuring 40. Oromia Region’s government spokesperson told local media that the attackers took orders from individuals opposing the federal government."
18,Gabon,There were no reports the government or its agents committed arbitrary or unlawful killings.
19,"Gambia, The","Unlike in prior years, there were no reports the government or its agents committed arbitrary or unlawful killings. On June 18, however, police officers in Faraba Banta village, Kombo East District shot and killed four stone-throwing protesters who attacked them during a protest that turned violent. According to media reports, the police officers in question panicked and failed to follow official procedures regarding the use of lethal force. On September 17, a commission of inquiry into the incident reported to the president but did not release its findings to the public. Three of the officers involved in the shootings were in detention but had not been charged by year’s end. On June 6, charges against Yusupha Jammeh, one of nine former National Intelligence Agency officials charged with murder in the 2016 killing of UDP politician Solo Sandeng, were dropped for lack of evidence. Of the remaining eight charged, on October 10, Louis Gomez, former operations director of the National Intelligence Agency died in hospital, and the seven others remained in detention pending completion of their trial."
20,Ghana,"There were a few reports that the government or its agents committed arbitrary or unlawful killings. In some cases authorities described these killings as having taken place in an “exchange of fire.” In July police killed seven persons near Kumasi in an incident that sparked riots when authorities claimed the victims were suspected robbers. In September the ministerial committee established to investigate the circumstances that led to the deaths submitted its initial report to officials. After studying the report, in a statement issued in November by the minister of information, the government directed that 21 police officers be suspended and made subjects of criminal investigations. According to the statement, the government determined there was no evidence the victims were armed robbers. News coverage indicated that police headquarters had not yet received a copy of the committee’s investigative report. As of November authorities had not been able to provide any further updates regarding police service enquiries concerning four officers implicated in the 2016 killing by police of a suspect in Kumasi. The government did not prosecute any officers for the incident, but it dismissed one officer and reprimanded five others."
21,Guinea,"There continued to be unsubstantiated reports the government or its agents committed arbitrary or unlawful killings. The investigation into the 2016 death of Thierno Hamidou Diallo and injury to three individuals during a peaceful opposition march in Conakry continued. The police officer arrested in connection with the death was awaiting trial, with the court scheduled to reconvene in January 2019. Impunity persisted for abuses perpetrated by state actors in past years, including security force killings by the previous military regime of at least 150 opposition demonstrators and the rape of more than 100 women and girls in the 2009 stadium massacre. Two of the indicted alleged ringleaders of the massacre--Colonel Claude Pivi and Colonel Moussa Tiegboro Camara--remained in high-level government posts. General Mathurin Bangoura, a person of interest whose indictment was dismissed following a judicial review, remained governor of Conakry. In December 2017 the minister of justice announced the closing of the years-long investigation into crimes committed during the September 2009 massacre. The minister also announced the establishment of a steering committee to organize the trial of those responsible. The mission of the 12-member committee is to study and outline the logistics of the trial. The committee is also charged with determining how to address other issues surrounding the massacre, such as establishment of a compensation mechanism for victims. Authorities took no action to exhume the bodies reportedly buried by security forces in mass graves. By year’s end it remained unclear what progress, if any, the committee had made."
22,Guinea-Bissau,There were no reports the government or its agents committed arbitrary or unlawful killings.
23,Kenya,"There were numerous reports the government or its agents committed arbitrary and unlawful killings, particularly of known or suspected criminals, including terrorists. In September eight nongovernmental organizations (NGO) based in the northern region jointly issued a statement listing extrajudicial killings and enforced disappearances at top of their list of human rights concerns. In September the NGO HAKI Africa provided the ODPP a list of 34 youth whom police allegedly executed over nine months since the beginning of the year. The ODPP committed to pursue investigations and requested additional evidence and assistance from HAKI. The NGO Independent Medico Legal Unit alleged that police in Nairobi summarily executed 58 individuals, mostly in informal settlements, between January to June. In March 2017 video footage surfaced on the internet of an alleged plainclothes police officer shooting two subdued suspects in the Nairobi neighborhood of Eastleigh. According to the newspaper Daily Nation, the Nairobi police commander defended the shooting, calling the victims “gangsters.” The Inspector General’s investigation continued as of year’s end. In August IPOA reported a summary execution of a suspected carjacker. The police, who had allegedly shot the victim twice, hauled him from a church where he had sought refuge. IPOA’s investigation continued as of the year’s end. Some groups alleged authorities significantly underestimated the number of extrajudicial killings by security forces due to underreporting of such killings in informal settlements, including those in dense urban areas. The NGO Mathare Social Justice Center estimated police killed at least one young male every week in the Mathare neighborhood of Nairobi. During the year IPOA received 461 complaints regarding deaths resulting from police actions, including 15 fatal shootings involving police and 446 deaths due to other actions by police. NGOs and the autonomous governmental entity Kenyan National Commission on Human Rights (KNCHR) reported in 2017 that authorities killed between 35 and 100 persons and injured many others in opposition strongholds following the August 2017 elections. A KNCHR report released in November documented 201 cases of sexual assault in nine counties emanating from the post-election violence, primarily during periods of increased civil unrest. The study found that police and other security officers committed 55 percent of the documented sexual assaults (see section 6). The report indicated that KNCHR turned over its findings to IPOA for official inquiry. IPOA’s investigations stemming from election violence continued as of the year’s end. Media reports and NGOs attributed many of the human rights abuses not related to elections to Kenya Defense Forces counterterrorism operations in the northeast counties of Mandera, Garissa, and Wajir bordering Somalia. In September rights groups including Muslims for Human Rights led protests in Mombasa against extrajudicial killings and abductions by security forces. The groups alleged that on September 6, authorities gunned down three youths, ages 17, 17, and 19, absent proof of guilt. Police responded that the three had been caught preparing to commit a crime. Impunity remained a serious problem (see section 1.d.). Al-Shabaab terrorists conducted deadly attacks and guerilla-style raids on isolated communities along the border with Somalia. For example, in September al-Shabaab fighters reportedly stopped a bus in Lamu County, separated the passengers by religion, and then executed two Christian passengers before setting free the other passengers."
24,Lesotho,"There were several reports members of the Lesotho Mounted Police Service (LMPS) committed arbitrary or unlawful killings. For example, on February 8, Butha-Buthe police killed Terene Pitae. According to the press, police shot and killed Pitae and wounded two other villagers who protested the Kao Mine’s failure to compensate and relocate villagers affected by mining operations. Although the case of eight LDF members charged with murder in connection with the 2015 death of former LDF commander Maaparankoe Mahao remained open, it had yet to be tried by at year’s end. All eight LDF members remained incarcerated."
25,Liberia,"There were several reports that the government or its agents committed arbitrary or unlawful killings. On April 29, a zone commander for the Liberia National Police (LNP), Roosevelt Demann, shot and killed an unarmed civilian, Beyan Lamie, when Lamie attempted to flee after a confrontation. An LNP investigation determined that Lamie posed no danger to Demann at the time. In September, Demann was found guilty of murder and sentenced to 25 years in prison. Demann’s legal counsel filed an appeal with the Supreme Court. The case is reportedly on the docket for March 2019."
26,Madagascar,"There were numerous reports that the government or its agents committed arbitrary or unlawful killings of criminal suspects. Most killings occurred during security force operations to stem cattle rustling by armed criminal groups in the central, west, and southwest areas as well as during police raids to combat insecurity in urban areas. Villagers sometimes supported government efforts to stem cattle rustling and were responsible for killing cattle rustlers. In January the National Gendarmerie told the press that in its efforts to combat insecurity, gendarmes had killed 217 presumed thieves in 2017, compared to 220 the year before. Between January and September, media reported 292 deaths from security force actions to combat insecurity, but this number included members of the security forces and civilians as well as presumed thieves According to media, clashes between alleged cattle thieves and the security forces occurred at least monthly. Usually the security forces were composed of police and gendarmes, but occasionally they included military elements. There were isolated reports of security forces executing cattle thieves or bandits after capture. These could not be substantiated and were rarely, if ever, investigated. In July bandits kidnapped four employees of a then state owned chromite mining company 115 miles north of Antananarivo. After their ransom was paid and they were released, gendarmes deployed to the area, and in mid-August a gendarme was killed in a shootout. Subsequently an army platoon consisting of 30 soldiers reportedly arrested a number of persons the locals identified as suspected bandits, removed their clothing and applied hot, melted plastic to their bodies. At least five were summarily executed, according to a villager’s report to a media outlet."
27,Malawi,"There were reports the government or its agents committed arbitrary or unlawful killings. Media reported that, between January and August, 43 suspects had died at the hands of police. For example, on June 16, after police arrested 11 persons in Blantyre, four individuals, Humpfrey Sakhumwa, Dave Sembele, Dave Gondwe, and Ashbu Daiton, were separated from the group to be transferred to another facility. Later that day officers dropped their bullet-riddled bodies at the local hospital mortuary. A reputable nongovernmental organization (NGO) and the United Nations carried out a preliminary investigation into several of the deaths that included interviews with family members and witnesses and found the allegations generally credible and warranting a more in-depth inquiry. Media reported during the year that police were also suspected of responsibility for at least 70 other deaths in 2017. Perpetrators of past abuses were occasionally punished administratively, but investigations often were delayed, abandoned, or remained inconclusive."
28,Mali,"There were several reports that the government or its agents committed arbitrary or unlawful killings (see section 1.g.). Human Rights Watch (HRW) reported that on April 5, 14 Fulani men suspected of terrorism were killed by the Malian Armed Forces (FAMA). The FAMA issued a statement saying that 14 men had died while attempting to escape; however, witnesses believed that these men were executed by the FAMA. On May 19, a Malian battalion assigned to the G5 Sahel Joint Force summarily and arbitrarily executed 12 civilians at the Boulikessi livestock market in an act of retaliation, according to a MINUSMA investigation. Signatory armed groups and violent extremist groups committed numerous arbitrary killings related to internal conflict. Clashes between ISGS and a government and French Barkhane-supported MSA-GATIA coalition killed numerous civilians in the Menaka and Kidal regions. On July 15, 12 civilians were killed during clashes in Injagalane in the Menaka Region. The MSA-GATIA coalition reportedly received equipment and logistical support from the government and French Barkhane forces during this period. Terrorist elements, including JNIM affiliates, launched frequent attacks, killing civilians as well as national and international security force members. For example, on June 29, a suicide bomber attacked the G5 Joint Force headquarters in Sevare, killing two Malian soldiers and one civilian. In the attack 11 soldiers from Burkina Faso, Mauritania, and Niger were wounded. Four suspects were arrested. The suspects remained in custody awaiting trial at year’s end. JNIM claimed responsibility for the attack. Attacks by bandits and Islamist extremist groups increasingly expanded from the traditional conflict zone in the North to the Mopti and Segou regions in the central part of the country. These attacks targeted government and international security force members. There was limited progress in the prosecution of suspects, including coup leader Sanogo, in the 2012 disappearance, torture, and killing of 21 Red Berets, including former junta member Colonel Youssouf Traore. The case was initially brought to trial in 2016. Following a defense objection to the admissibility of DNA evidence, however, the trial remained suspended pending new DNA analysis."
29,Mauritania,There were no reports the government or its agents committed arbitrary or unlawful killings.
30,Mauritius,"There were no reports that the government or its agents committed arbitrary or unlawful killings. In 2015 Iqbal Toofany died while in police custody. Police detained him following a routine traffic check, but he died in a hospital the following day. The prosecution of five police officers arrested in connection with his death started in June, and sentencing was expected in February 2019."
31,Mozambique,"There were numerous reports that the government or its agents committed arbitrary or unlawful killings. Most reports named security forces, particularly the National Police (PRM), as the perpetrators. The pattern of unidentified PRM officers killing unarmed civilians for minor infractions of law (or sometimes no violation) occurred throughout the country. There were numerous reported abuses similar to the following examples. On July 30, a contingent of the Rapid Intervention Unit (FIR) killed one person and wounded another seven protesting forced relocation from the Olinda area of the Inhassunge District in Zambezia Province to another area of the district. The forced removal was to allow for implementation of a Chinese heavy-sand mining project at the site. The October 2017 killing of the president of Nampula City Council, Mahamudo Amurane, by unidentified assailants followed a pattern of unresolved cases of high-profile killings of political figures. These included the 2016 killing of Jeremias Pondeca, a senior member of the team representing the Mozambique National Resistance Party (Renamo) in negotiations with the government, and the 2015 killing of constitutional lawyer, Gilles Cistac."
32,Namibia,There were no reports the government or its agents committed arbitrary or unlawful killings.
33,Niger,"There were reports that the government and its agents committed arbitrary or unlawful killings. For example, the armed forces were accused of sometimes executing persons believed to be fighting with extremist groups in both Diffa and Tillabery Regions rather than holding them in detention. There was evidence in Tillabery Region that the government allowed Malian militia groups to operate in Nigerien territory and may have at times collaborated with or provided limited material and logistical support to them. Malian militia groups the Movement for the Salvation of Azawad and GATIA were accused of committing human rights abuses on Nigerien soil, including kidnapping and killing persons believed to be collaborating with extremist groups. The governmental National Human Rights Commission (CNDH) reported receiving several complaints about arbitrary and unlawful killings attributed to security forces and to Malian militias operating within conflict areas of the country. The CNDH had limited resources to investigate the complaints. Armed terrorist groups including Boko Haram and groups affiliated with al-Qaida, ISIS in the Greater Sahara (ISIS-GS), and ISIS-West Africa (ISIS-WA) attacked and killed civilians and security forces (see section 1.g.)."
