,Class,y_test,y_pred
91,PHYSINT,2.0,5.0
1309,PHYSINT,6.0,4.0
328,PHYSINT,6.0,7.0
64,PHYSINT,2.0,0.0
1525,PHYSINT,5.0,5.0
1429,PHYSINT,6.0,7.0
695,PHYSINT,8.0,7.0
413,PHYSINT,7.0,6.0
1445,PHYSINT,7.0,7.0
629,PHYSINT,7.0,7.0
448,PHYSINT,5.0,5.0
1028,PHYSINT,7.0,8.0
1808,PHYSINT,7.0,7.0
941,PHYSINT,2.0,3.0
2048,PHYSINT,7.0,7.0
1067,PHYSINT,5.0,5.0
516,PHYSINT,3.0,4.0
1184,PHYSINT,2.0,2.0
1683,PHYSINT,8.0,8.0
2047,PHYSINT,4.0,3.0
1153,PHYSINT,7.0,6.0
1185,PHYSINT,4.0,5.0
240,PHYSINT,4.0,3.0
966,PHYSINT,2.0,2.0
503,PHYSINT,8.0,7.0
1719,PHYSINT,4.0,5.0
1479,PHYSINT,6.0,6.0
741,PHYSINT,2.0,2.0
179,PHYSINT,6.0,3.0
1139,PHYSINT,7.0,7.0
802,PHYSINT,7.0,8.0
1944,PHYSINT,8.0,8.0
421,PHYSINT,5.0,5.0
1547,PHYSINT,4.0,4.0
649,PHYSINT,4.0,2.0
1073,PHYSINT,5.0,6.0
868,PHYSINT,7.0,7.0
2006,PHYSINT,2.0,2.0
342,PHYSINT,6.0,7.0
232,PHYSINT,3.0,3.0
1062,PHYSINT,8.0,8.0
310,PHYSINT,7.0,8.0
776,PHYSINT,5.0,6.0
1624,PHYSINT,7.0,7.0
1129,PHYSINT,5.0,3.0
499,PHYSINT,7.0,6.0
1717,PHYSINT,5.0,4.0
1909,PHYSINT,6.0,6.0
734,PHYSINT,7.0,6.0
1629,PHYSINT,7.0,6.0
873,PHYSINT,8.0,8.0
1849,PHYSINT,5.0,6.0
1539,PHYSINT,7.0,7.0
316,PHYSINT,6.0,7.0
919,PHYSINT,1.0,0.0
1394,PHYSINT,5.0,5.0
624,PHYSINT,1.0,1.0
566,PHYSINT,0.0,0.0
463,PHYSINT,5.0,5.0
508,PHYSINT,7.0,7.0
536,PHYSINT,3.0,3.0
803,PHYSINT,5.0,6.0
937,PHYSINT,5.0,5.0
1442,PHYSINT,8.0,8.0
491,PHYSINT,8.0,8.0
1733,PHYSINT,0.0,0.0
1824,PHYSINT,8.0,8.0
2009,PHYSINT,2.0,2.0
1508,PHYSINT,3.0,4.0
1427,PHYSINT,8.0,8.0
1419,PHYSINT,5.0,5.0
230,PHYSINT,4.0,5.0
214,PHYSINT,0.0,1.0
371,PHYSINT,7.0,8.0
1483,PHYSINT,2.0,2.0
2020,PHYSINT,7.0,7.0
381,PHYSINT,0.0,2.0
1950,PHYSINT,2.0,2.0
584,PHYSINT,2.0,4.0
1736,PHYSINT,0.0,0.0
893,PHYSINT,7.0,7.0
2003,PHYSINT,6.0,7.0
1455,PHYSINT,7.0,7.0
1938,PHYSINT,5.0,4.0
943,PHYSINT,5.0,4.0
505,PHYSINT,2.0,2.0
453,PHYSINT,4.0,5.0
1523,PHYSINT,3.0,4.0
1087,PHYSINT,1.0,2.0
1527,PHYSINT,5.0,6.0
1077,PHYSINT,7.0,7.0
1921,PHYSINT,4.0,4.0
219,PHYSINT,6.0,5.0
636,PHYSINT,7.0,6.0
1977,PHYSINT,8.0,8.0
717,PHYSINT,6.0,7.0
1590,PHYSINT,8.0,8.0
415,PHYSINT,3.0,3.0
1620,PHYSINT,8.0,8.0
750,PHYSINT,8.0,8.0
1251,PHYSINT,7.0,6.0
2025,PHYSINT,5.0,4.0
1081,PHYSINT,7.0,7.0
841,PHYSINT,4.0,3.0
645,PHYSINT,5.0,4.0
248,PHYSINT,0.0,0.0
19,PHYSINT,3.0,7.0
336,PHYSINT,6.0,7.0
726,PHYSINT,8.0,7.0
884,PHYSINT,6.0,7.0
1027,PHYSINT,8.0,8.0
1083,PHYSINT,3.0,2.0
950,PHYSINT,8.0,7.0
1234,PHYSINT,8.0,8.0
1511,PHYSINT,5.0,5.0
1330,PHYSINT,3.0,1.0
944,PHYSINT,3.0,2.0
991,PHYSINT,1.0,2.0
249,PHYSINT,5.0,5.0
1178,PHYSINT,7.0,8.0
1779,PHYSINT,6.0,7.0
1291,PHYSINT,3.0,4.0
1675,PHYSINT,7.0,7.0
1917,PHYSINT,6.0,8.0
820,PHYSINT,1.0,1.0
857,PHYSINT,7.0,8.0
1386,PHYSINT,4.0,5.0
1230,PHYSINT,5.0,4.0
1395,PHYSINT,3.0,5.0
1565,PHYSINT,6.0,6.0
1633,PHYSINT,7.0,7.0
1753,PHYSINT,1.0,1.0
391,PHYSINT,4.0,3.0
73,PHYSINT,4.0,4.0
819,PHYSINT,7.0,7.0
1991,PHYSINT,6.0,7.0
1380,PHYSINT,6.0,4.0
1009,PHYSINT,1.0,1.0
1473,PHYSINT,7.0,7.0
51,PHYSINT,0.0,0.0
125,PHYSINT,3.0,2.0
350,PHYSINT,6.0,6.0
1485,PHYSINT,7.0,5.0
435,PHYSINT,6.0,7.0
127,PHYSINT,4.0,3.0
910,PHYSINT,4.0,3.0
1411,PHYSINT,5.0,5.0
1540,PHYSINT,6.0,6.0
135,PHYSINT,1.0,0.0
742,PHYSINT,1.0,2.0
588,PHYSINT,5.0,4.0
2051,PHYSINT,5.0,5.0
1468,PHYSINT,8.0,8.0
1819,PHYSINT,6.0,5.0
1439,PHYSINT,7.0,7.0
1866,PHYSINT,2.0,2.0
1862,PHYSINT,5.0,5.0
509,PHYSINT,3.0,2.0
1271,PHYSINT,7.0,7.0
1383,PHYSINT,5.0,6.0
164,PHYSINT,5.0,3.0
658,PHYSINT,6.0,5.0
631,PHYSINT,0.0,0.0
1937,PHYSINT,6.0,5.0
92,PHYSINT,6.0,8.0
805,PHYSINT,4.0,5.0
1941,PHYSINT,6.0,4.0
1252,PHYSINT,4.0,4.0
674,PHYSINT,6.0,4.0
568,PHYSINT,6.0,5.0
1149,PHYSINT,6.0,6.0
597,PHYSINT,1.0,1.0
739,PHYSINT,2.0,4.0
1253,PHYSINT,6.0,4.0
2060,PHYSINT,7.0,7.0
1324,PHYSINT,6.0,7.0
1579,PHYSINT,7.0,8.0
1142,PHYSINT,8.0,8.0
1817,PHYSINT,3.0,2.0
488,PHYSINT,4.0,6.0
754,PHYSINT,4.0,4.0
2030,PHYSINT,3.0,3.0
390,PHYSINT,8.0,6.0
288,PHYSINT,8.0,8.0
1781,PHYSINT,7.0,8.0
1762,PHYSINT,2.0,4.0
1992,PHYSINT,7.0,7.0
872,PHYSINT,6.0,6.0
1431,PHYSINT,5.0,3.0
188,PHYSINT,2.0,1.0
668,PHYSINT,7.0,7.0
1023,PHYSINT,7.0,7.0
1971,PHYSINT,7.0,7.0
1079,PHYSINT,5.0,3.0
1451,PHYSINT,7.0,7.0
1947,PHYSINT,7.0,8.0
1239,PHYSINT,7.0,7.0
1432,PHYSINT,7.0,7.0
1246,PHYSINT,8.0,8.0
1225,PHYSINT,8.0,8.0
364,PHYSINT,4.0,3.0
1689,PHYSINT,6.0,6.0
1815,PHYSINT,0.0,0.0
847,PHYSINT,5.0,5.0
1721,PHYSINT,4.0,5.0
2012,PHYSINT,5.0,5.0
2049,PHYSINT,4.0,4.0
1727,PHYSINT,2.0,2.0
853,PHYSINT,7.0,6.0
1344,PHYSINT,2.0,2.0
686,PHYSINT,8.0,7.0
1635,PHYSINT,3.0,2.0
818,PHYSINT,6.0,7.0
1101,PHYSINT,4.0,5.0
1958,PHYSINT,3.0,3.0
1640,PHYSINT,6.0,4.0
1040,PHYSINT,3.0,5.0
581,PHYSINT,4.0,3.0
1405,PHYSINT,6.0,5.0
354,PHYSINT,4.0,4.0
1923,PHYSINT,4.0,5.0
440,PHYSINT,5.0,4.0
1478,DISAP,1.0,2.0
727,DISAP,2.0,2.0
1103,DISAP,2.0,2.0
1475,DISAP,2.0,2.0
696,DISAP,2.0,2.0
1203,DISAP,0.0,1.0
949,DISAP,2.0,2.0
1946,DISAP,1.0,1.0
736,DISAP,2.0,2.0
995,DISAP,2.0,2.0
1769,DISAP,2.0,2.0
1500,DISAP,0.0,0.0
137,DISAP,2.0,2.0
403,DISAP,2.0,2.0
388,DISAP,2.0,2.0
909,DISAP,2.0,2.0
570,DISAP,2.0,2.0
1105,DISAP,2.0,2.0
90,DISAP,2.0,2.0
1759,DISAP,2.0,2.0
1638,DISAP,2.0,2.0
1022,DISAP,2.0,2.0
432,DISAP,2.0,1.0
2062,DISAP,2.0,1.0
1768,DISAP,2.0,2.0
664,DISAP,2.0,2.0
713,DISAP,2.0,2.0
1619,DISAP,2.0,2.0
426,DISAP,2.0,2.0
1284,DISAP,1.0,2.0
887,DISAP,2.0,2.0
1521,DISAP,2.0,2.0
605,DISAP,2.0,2.0
1400,DISAP,2.0,2.0
918,DISAP,2.0,2.0
1059,DISAP,2.0,2.0
2033,DISAP,2.0,2.0
533,DISAP,2.0,2.0
443,DISAP,2.0,2.0
257,DISAP,2.0,2.0
1607,DISAP,2.0,2.0
1337,DISAP,2.0,2.0
1119,DISAP,2.0,2.0
1924,DISAP,1.0,2.0
1489,DISAP,2.0,2.0
1623,DISAP,2.0,2.0
1443,DISAP,2.0,2.0
465,DISAP,2.0,2.0
245,DISAP,0.0,0.0
1200,DISAP,0.0,0.0
1266,DISAP,2.0,2.0
1789,DISAP,2.0,2.0
567,DISAP,2.0,1.0
621,DISAP,2.0,2.0
611,DISAP,2.0,2.0
1511,DISAP,1.0,2.0
447,DISAP,2.0,2.0
1469,DISAP,2.0,2.0
870,DISAP,2.0,2.0
1839,DISAP,0.0,0.0
341,DISAP,2.0,2.0
1128,DISAP,2.0,2.0
1104,DISAP,1.0,2.0
958,DISAP,2.0,2.0
895,DISAP,1.0,2.0
405,DISAP,0.0,0.0
795,DISAP,2.0,2.0
573,DISAP,0.0,2.0
948,DISAP,2.0,2.0
1377,DISAP,2.0,2.0
830,DISAP,2.0,2.0
84,DISAP,2.0,2.0
836,DISAP,2.0,2.0
973,DISAP,2.0,1.0
140,DISAP,1.0,2.0
34,DISAP,1.0,1.0
1650,DISAP,2.0,2.0
317,DISAP,2.0,1.0
1880,DISAP,2.0,1.0
1677,DISAP,2.0,2.0
1409,DISAP,2.0,2.0
707,DISAP,2.0,2.0
831,DISAP,2.0,2.0
436,DISAP,0.0,0.0
1051,DISAP,2.0,2.0
497,DISAP,0.0,1.0
1398,DISAP,1.0,1.0
1963,DISAP,2.0,2.0
1484,DISAP,2.0,2.0
1740,DISAP,2.0,1.0
1701,DISAP,1.0,2.0
827,DISAP,2.0,2.0
740,DISAP,2.0,2.0
424,DISAP,2.0,2.0
551,DISAP,0.0,0.0
1927,DISAP,2.0,2.0
660,DISAP,2.0,2.0
1992,DISAP,2.0,2.0
1249,DISAP,2.0,2.0
1758,DISAP,2.0,2.0
368,DISAP,2.0,2.0
775,DISAP,1.0,2.0
1421,DISAP,2.0,2.0
1307,DISAP,1.0,0.0
323,DISAP,2.0,2.0
2002,DISAP,2.0,2.0
1529,DISAP,2.0,2.0
979,DISAP,2.0,2.0
1586,DISAP,2.0,1.0
710,DISAP,2.0,2.0
879,DISAP,2.0,2.0
1259,DISAP,2.0,2.0
1326,DISAP,2.0,2.0
1516,DISAP,1.0,2.0
1115,DISAP,2.0,2.0
296,DISAP,2.0,2.0
1219,DISAP,1.0,1.0
236,DISAP,1.0,1.0
1590,DISAP,2.0,2.0
1535,DISAP,1.0,2.0
1258,DISAP,2.0,2.0
929,DISAP,2.0,2.0
171,DISAP,2.0,2.0
150,DISAP,2.0,2.0
1170,DISAP,2.0,2.0
377,DISAP,1.0,0.0
384,DISAP,2.0,2.0
871,DISAP,2.0,2.0
294,DISAP,2.0,2.0
833,DISAP,1.0,1.0
1420,DISAP,0.0,1.0
1109,DISAP,2.0,2.0
680,DISAP,2.0,2.0
387,DISAP,2.0,2.0
2061,DISAP,2.0,2.0
494,DISAP,2.0,2.0
434,DISAP,2.0,2.0
1323,DISAP,2.0,2.0
1361,DISAP,2.0,2.0
1978,DISAP,2.0,2.0
557,DISAP,2.0,2.0
512,DISAP,2.0,2.0
1134,DISAP,1.0,1.0
694,DISAP,2.0,2.0
1423,DISAP,2.0,2.0
2052,DISAP,2.0,2.0
302,DISAP,2.0,2.0
1378,DISAP,2.0,2.0
1061,DISAP,2.0,2.0
1024,DISAP,2.0,2.0
2011,DISAP,2.0,2.0
272,DISAP,1.0,2.0
27,DISAP,2.0,2.0
1264,DISAP,2.0,2.0
82,DISAP,2.0,2.0
892,DISAP,2.0,2.0
379,DISAP,0.0,0.0
1278,DISAP,2.0,2.0
1583,DISAP,2.0,2.0
1866,DISAP,1.0,1.0
1449,DISAP,2.0,2.0
1045,DISAP,2.0,2.0
583,DISAP,1.0,1.0
1256,DISAP,2.0,2.0
412,DISAP,1.0,1.0
2010,DISAP,2.0,2.0
1357,DISAP,2.0,2.0
1114,DISAP,2.0,2.0
693,DISAP,0.0,0.0
654,DISAP,2.0,2.0
1961,DISAP,1.0,2.0
794,DISAP,2.0,2.0
1218,DISAP,2.0,2.0
1333,DISAP,2.0,2.0
145,DISAP,1.0,2.0
1550,DISAP,1.0,1.0
885,DISAP,2.0,2.0
1363,DISAP,2.0,2.0
923,DISAP,2.0,2.0
498,DISAP,2.0,2.0
313,DISAP,2.0,1.0
1853,DISAP,0.0,0.0
521,DISAP,2.0,2.0
496,DISAP,2.0,2.0
280,DISAP,2.0,2.0
217,DISAP,2.0,2.0
1568,DISAP,2.0,2.0
1407,DISAP,2.0,1.0
881,DISAP,0.0,1.0
1984,DISAP,2.0,2.0
1321,DISAP,2.0,2.0
1311,DISAP,2.0,2.0
1889,DISAP,2.0,0.0
40,DISAP,2.0,2.0
1900,DISAP,1.0,2.0
1004,DISAP,1.0,1.0
620,DISAP,2.0,2.0
160,DISAP,2.0,2.0
806,DISAP,2.0,2.0
207,DISAP,2.0,2.0
1544,DISAP,2.0,2.0
768,DISAP,2.0,2.0
2058,DISAP,1.0,1.0
1371,DISAP,2.0,2.0
61,DISAP,2.0,2.0
2004,DISAP,2.0,2.0
1861,DISAP,2.0,2.0
1850,DISAP,2.0,2.0
1426,DISAP,2.0,2.0
1212,DISAP,2.0,2.0
1044,DISAP,2.0,2.0
2045,DISAP,0.0,0.0
1597,DISAP,2.0,2.0
304,DISAP,2.0,2.0
1762,DISAP,1.0,2.0
1598,DISAP,2.0,2.0
699,DISAP,2.0,2.0
1703,DISAP,1.0,2.0
900,DISAP,2.0,2.0
2036,DISAP,2.0,2.0
1793,DISAP,2.0,2.0
98,DISAP,2.0,2.0
77,DISAP,2.0,2.0
1000,DISAP,2.0,2.0
838,DISAP,2.0,2.0
1629,DISAP,2.0,2.0
93,DISAP,2.0,2.0
433,DISAP,2.0,2.0
1501,DISAP,2.0,2.0
270,DISAP,2.0,2.0
89,DISAP,2.0,2.0
206,DISAP,1.0,1.0
799,DISAP,1.0,1.0
1365,DISAP,2.0,2.0
1126,DISAP,2.0,2.0
1474,DISAP,2.0,2.0
1698,DISAP,2.0,2.0
1999,DISAP,2.0,2.0
1862,DISAP,2.0,2.0
569,DISAP,0.0,0.0
1102,DISAP,2.0,2.0
627,DISAP,2.0,2.0
548,DISAP,2.0,2.0
54,DISAP,0.0,0.0
993,DISAP,2.0,2.0
1367,DISAP,1.0,1.0
1906,DISAP,2.0,2.0
1167,DISAP,0.0,0.0
1948,DISAP,2.0,2.0
282,DISAP,2.0,2.0
96,DISAP,2.0,2.0
1988,DISAP,2.0,2.0
1986,DISAP,1.0,2.0
124,DISAP,2.0,2.0
826,DISAP,2.0,2.0
510,DISAP,2.0,2.0
1898,DISAP,0.0,2.0
